id,sentiment,kfold,lr_svd_pred
5905_9,1,0,0.48
1846_3,0,0,0.48
2501_8,1,0,0.78
1655_8,1,0,0.67
10817_10,1,0,0.42
8910_3,0,0,0.24
7194_7,1,0,0.81
2283_4,0,0,0.47
11868_3,0,0,0.26
23_3,0,0,0.18
6939_9,1,0,0.67
2189_10,1,0,0.68
8065_9,1,0,0.76
5903_1,0,0,0.24
9544_2,0,0,0.45
12329_1,0,0,0.17
3648_8,1,0,0.45
499_1,0,0,0.12
3097_1,0,0,0.3
770_3,0,0,0.35
732_7,1,0,0.69
4648_9,1,0,0.72
7730_7,1,0,0.32
12182_1,0,0,0.43
5413_1,0,0,0.47
5094_3,0,0,0.43
8512_7,1,0,0.31
5584_1,0,0,0.2
2516_3,0,0,0.31
5259_9,1,0,0.7
6996_8,1,0,0.58
6162_8,1,0,0.6
1306_7,1,0,0.27
2821_1,0,0,0.44
256_1,0,0,0.4
6257_10,1,0,0.79
1238_1,0,0,0.39
4747_8,1,0,0.3
6291_3,0,0,0.39
317_10,1,0,0.59
750_8,1,0,0.81
5460_4,0,0,0.53
1197_10,1,0,0.63
9595_1,0,0,0.29
10028_2,0,0,0.45
8018_1,0,0,0.36
3568_4,0,0,0.39
8519_10,1,0,0.53
5541_2,0,0,0.34
7545_1,0,0,0.37
8075_8,1,0,0.67
3724_1,0,0,0.79
2456_3,0,0,0.4
12021_1,0,0,0.2
6912_1,0,0,0.17
5274_7,1,0,0.7
7346_1,0,0,0.13
2858_10,1,0,0.64
4595_2,0,0,0.18
12270_10,1,0,0.45
4436_7,1,0,0.65
11027_4,0,0,0.43
11058_1,0,0,0.29
9173_1,0,0,0.44
10200_4,0,0,0.26
1512_10,1,0,0.7
10827_1,0,0,0.27
2130_10,1,0,0.73
3626_4,0,0,0.55
10929_10,1,0,0.7
9631_10,1,0,0.56
8398_3,0,0,0.14
6757_4,0,0,0.5
11031_8,1,0,0.74
6243_9,1,0,0.62
1708_10,1,0,0.8
7172_10,1,0,0.34
11049_8,1,0,0.57
2006_3,0,0,0.31
5265_9,1,0,0.43
12479_1,0,0,0.11
1987_4,0,0,0.34
2735_10,1,0,0.53
2201_10,1,0,0.73
4167_2,0,0,0.56
5800_10,1,0,0.72
7410_2,0,0,0.58
11733_10,1,0,0.69
9306_9,1,0,0.64
11118_10,1,0,0.57
4373_1,0,0,0.36
6224_2,0,0,0.24
300_9,1,0,0.61
9994_10,1,0,0.68
11817_4,0,0,0.35
12216_4,0,0,0.12
5168_10,1,0,0.69
8148_8,1,0,0.6
8352_1,0,0,0.62
896_10,1,0,0.63
1354_9,1,0,0.66
9119_10,1,0,0.55
4070_10,1,0,0.57
9539_7,1,0,0.63
8200_8,1,0,0.48
699_4,0,0,0.39
1158_9,1,0,0.69
10943_10,1,0,0.67
11643_7,1,0,0.57
6472_2,0,0,0.41
5478_4,0,0,0.13
3287_1,0,0,0.6
10706_4,0,0,0.37
10531_3,0,0,0.62
4201_9,1,0,0.51
601_7,1,0,0.71
2898_9,1,0,0.71
10888_8,1,0,0.69
5788_8,1,0,0.57
8953_1,0,0,0.45
1896_8,1,0,0.76
10198_8,1,0,0.63
7914_2,0,0,0.47
11973_4,0,0,0.32
4465_2,0,0,0.28
11188_10,1,0,0.16
12213_10,1,0,0.73
9261_3,0,0,0.36
10366_10,1,0,0.81
3528_2,0,0,0.22
11730_4,0,0,0.68
2384_1,0,0,0.32
11426_1,0,0,0.31
7340_1,0,0,0.31
7924_1,0,0,0.22
5787_9,1,0,0.64
3014_8,1,0,0.71
9237_4,0,0,0.26
1353_1,0,0,0.29
7051_4,0,0,0.28
12422_1,0,0,0.37
798_1,0,0,0.36
7592_9,1,0,0.64
7931_8,1,0,0.39
3020_9,1,0,0.85
12168_10,1,0,0.26
4304_1,0,0,0.56
7773_10,1,0,0.7
293_2,0,0,0.64
12208_8,1,0,0.47
2923_4,0,0,0.45
8883_2,0,0,0.35
11420_1,0,0,0.3
4560_4,0,0,0.43
4141_4,0,0,0.47
8853_7,1,0,0.86
8716_10,1,0,0.71
8308_7,1,0,0.56
3181_10,1,0,0.68
9215_7,1,0,0.44
6714_4,0,0,0.57
1936_1,0,0,0.41
10102_1,0,0,0.18
88_9,1,0,0.5
8248_9,1,0,0.82
3697_4,0,0,0.75
395_1,0,0,0.29
3737_9,1,0,0.5
3221_10,1,0,0.65
9658_7,1,0,0.73
2550_1,0,0,0.39
1596_4,0,0,0.41
7009_10,1,0,0.59
9279_7,1,0,0.46
155_10,1,0,0.76
272_10,1,0,0.58
1311_10,1,0,0.52
4519_9,1,0,0.75
2581_8,1,0,0.69
11061_1,0,0,0.29
7337_1,0,0,0.39
2663_2,0,0,0.48
2880_8,1,0,0.72
9547_2,0,0,0.52
8209_4,0,0,0.58
11696_7,1,0,0.58
206_10,1,0,0.72
4767_9,1,0,0.6
6574_4,0,0,0.35
8278_1,0,0,0.52
8649_1,0,0,0.34
8101_8,1,0,0.65
5616_3,0,0,0.37
7408_4,0,0,0.4
8951_7,1,0,0.63
1244_8,1,0,0.79
11720_2,0,0,0.27
9765_10,1,0,0.64
5745_8,1,0,0.71
2022_9,1,0,0.26
1188_4,0,0,0.53
3580_4,0,0,0.23
10106_8,1,0,0.67
5789_9,1,0,0.63
1152_10,1,0,0.82
6329_1,0,0,0.36
2655_10,1,0,0.79
3453_3,0,0,0.36
7507_2,0,0,0.23
5159_10,1,0,0.38
12396_7,1,0,0.71
6083_3,0,0,0.2
7073_10,1,0,0.46
8411_7,1,0,0.66
2242_7,1,0,0.57
5821_7,1,0,0.65
11865_10,1,0,0.36
6059_10,1,0,0.68
6106_9,1,0,0.75
10364_10,1,0,0.75
2152_1,0,0,0.24
3999_10,1,0,0.75
11301_3,0,0,0.29
4001_8,1,0,0.72
2108_4,0,0,0.62
1489_8,1,0,0.65
2997_1,0,0,0.54
4846_3,0,0,0.47
8245_9,1,0,0.62
6679_3,0,0,0.55
8217_1,0,0,0.26
11694_7,1,0,0.45
1299_10,1,0,0.57
10170_8,1,0,0.33
7075_10,1,0,0.55
4888_8,1,0,0.63
12007_10,1,0,0.68
12073_9,1,0,0.45
11530_8,1,0,0.64
4646_1,0,0,0.44
6660_8,1,0,0.76
2170_9,1,0,0.43
6446_2,0,0,0.27
4780_9,1,0,0.49
8471_10,1,0,0.83
5998_10,1,0,0.75
9929_2,0,0,0.51
10402_1,0,0,0.26
4897_2,0,0,0.26
5804_1,0,0,0.37
10701_4,0,0,0.35
783_1,0,0,0.47
2895_4,0,0,0.55
6724_8,1,0,0.63
841_1,0,0,0.26
3958_1,0,0,0.18
5400_4,0,0,0.42
2342_1,0,0,0.37
9801_1,0,0,0.51
6411_10,1,0,0.9
5640_7,1,0,0.55
6276_7,1,0,0.72
8637_10,1,0,0.86
2616_10,1,0,0.65
11896_4,0,0,0.54
557_2,0,0,0.66
9178_1,0,0,0.22
275_3,0,0,0.42
6132_10,1,0,0.59
369_10,1,0,0.76
5042_9,1,0,0.72
5406_7,1,0,0.27
5230_1,0,0,0.4
8109_10,1,0,0.6
6468_7,1,0,0.52
11469_10,1,0,0.84
6092_1,0,0,0.48
10549_9,1,0,0.72
8412_4,0,0,0.54
12388_4,0,0,0.39
1624_1,0,0,0.36
643_10,1,0,0.47
9410_7,1,0,0.5
6981_1,0,0,0.33
11589_3,0,0,0.26
5522_2,0,0,0.16
3958_7,1,0,0.55
6871_8,1,0,0.63
815_2,0,0,0.5
3316_2,0,0,0.35
2294_2,0,0,0.52
1149_3,0,0,0.73
8836_10,1,0,0.5
10697_4,0,0,0.55
5382_7,1,0,0.67
420_7,1,0,0.52
10963_7,1,0,0.37
5748_4,0,0,0.31
3077_1,0,0,0.28
12189_4,0,0,0.3
10925_1,0,0,0.11
4068_3,0,0,0.54
8630_4,0,0,0.44
4458_7,1,0,0.73
9758_10,1,0,0.78
4251_1,0,0,0.38
5996_7,1,0,0.46
8479_3,0,0,0.27
7261_8,1,0,0.62
11798_10,1,0,0.72
9121_3,0,0,0.62
5248_3,0,0,0.28
428_1,0,0,0.29
971_3,0,0,0.45
1804_2,0,0,0.51
757_8,1,0,0.64
2641_1,0,0,0.58
11142_1,0,0,0.2
267_3,0,0,0.48
8554_1,0,0,0.3
8886_10,1,0,0.65
8518_2,0,0,0.51
4088_7,1,0,0.6
2312_9,1,0,0.62
7793_1,0,0,0.26
4487_9,1,0,0.57
6746_8,1,0,0.75
12356_8,1,0,0.61
2275_7,1,0,0.74
3865_2,0,0,0.29
9976_7,1,0,0.43
6607_9,1,0,0.72
7990_4,0,0,0.65
749_1,0,0,0.39
8434_9,1,0,0.4
3976_10,1,0,0.78
161_8,1,0,0.49
8790_8,1,0,0.38
9971_10,1,0,0.46
3790_1,0,0,0.27
7584_3,0,0,0.52
4781_1,0,0,0.37
1469_7,1,0,0.51
6170_4,0,0,0.51
9619_4,0,0,0.37
12350_9,1,0,0.75
1755_10,1,0,0.6
8158_10,1,0,0.56
3101_9,1,0,0.63
4751_2,0,0,0.45
4596_2,0,0,0.39
1320_1,0,0,0.33
12439_8,1,0,0.4
2403_10,1,0,0.58
7798_1,0,0,0.12
1655_2,0,0,0.45
1319_10,1,0,0.67
9634_4,0,0,0.4
5760_8,1,0,0.44
6933_9,1,0,0.88
6414_8,1,0,0.4
11102_10,1,0,0.7
1838_10,1,0,0.76
6638_10,1,0,0.39
12373_7,1,0,0.47
11602_8,1,0,0.44
10600_9,1,0,0.77
10173_1,0,0,0.29
3567_8,1,0,0.63
7896_1,0,0,0.19
8551_4,0,0,0.31
2403_1,0,0,0.46
12222_10,1,0,0.42
3013_8,1,0,0.65
1622_4,0,0,0.42
9003_10,1,0,0.74
3377_8,1,0,0.43
2431_8,1,0,0.67
11768_7,1,0,0.68
3274_2,0,0,0.38
10045_10,1,0,0.33
681_1,0,0,0.36
6539_9,1,0,0.63
10805_10,1,0,0.51
8636_4,0,0,0.37
4142_10,1,0,0.53
3263_7,1,0,0.57
11705_7,1,0,0.56
4442_4,0,0,0.55
5135_3,0,0,0.42
12050_10,1,0,0.38
2460_10,1,0,0.6
7307_2,0,0,0.13
2744_10,1,0,0.69
8486_1,0,0,0.27
10816_2,0,0,0.36
3223_3,0,0,0.52
7042_1,0,0,0.27
7837_10,1,0,0.66
7440_1,0,0,0.16
8233_8,1,0,0.55
6809_1,0,0,0.1
3170_9,1,0,0.51
756_10,1,0,0.57
7282_9,1,0,0.34
1666_8,1,0,0.77
7734_1,0,0,0.28
7941_2,0,0,0.56
12414_10,1,0,0.75
5681_8,1,0,0.53
3584_4,0,0,0.47
2420_10,1,0,0.72
3423_7,1,0,0.68
8975_1,0,0,0.26
6010_1,0,0,0.29
2418_8,1,0,0.65
9377_1,0,0,0.59
8228_1,0,0,0.39
3281_10,1,0,0.64
8223_1,0,0,0.17
7560_9,1,0,0.51
10297_3,0,0,0.43
1001_4,0,0,0.56
11104_1,0,0,0.16
11506_2,0,0,0.4
3641_9,1,0,0.74
10911_7,1,0,0.82
5995_1,0,0,0.3
500_2,0,0,0.16
6324_8,1,0,0.5
1640_10,1,0,0.63
4405_8,1,0,0.78
11666_10,1,0,0.85
2934_10,1,0,0.7
6071_4,0,0,0.42
3505_1,0,0,0.53
9767_7,1,0,0.43
12100_8,1,0,0.44
11338_3,0,0,0.62
7524_1,0,0,0.6
9350_10,1,0,0.61
5855_9,1,0,0.62
9860_1,0,0,0.62
2260_1,0,0,0.38
7830_4,0,0,0.56
5870_1,0,0,0.42
1775_4,0,0,0.41
4297_1,0,0,0.39
740_7,1,0,0.61
7014_3,0,0,0.34
3485_3,0,0,0.35
9114_1,0,0,0.24
12036_1,0,0,0.5
1786_4,0,0,0.53
11431_10,1,0,0.58
56_10,1,0,0.46
5443_8,1,0,0.66
12496_8,1,0,0.41
6525_7,1,0,0.82
2972_7,1,0,0.49
10975_3,0,0,0.23
4756_10,1,0,0.46
6315_1,0,0,0.66
2494_10,1,0,0.61
4017_7,1,0,0.48
2219_1,0,0,0.39
6448_10,1,0,0.59
11826_4,0,0,0.51
498_10,1,0,0.59
4711_1,0,0,0.38
1879_1,0,0,0.25
1065_1,0,0,0.28
3892_2,0,0,0.31
2405_2,0,0,0.38
6672_10,1,0,0.79
109_10,1,0,0.55
4370_3,0,0,0.44
12011_4,0,0,0.2
4270_1,0,0,0.52
8063_2,0,0,0.38
5169_7,1,0,0.57
11697_10,1,0,0.53
4590_10,1,0,0.47
8840_10,1,0,0.65
4869_10,1,0,0.59
9066_8,1,0,0.67
1868_10,1,0,0.38
9086_3,0,0,0.45
12051_10,1,0,0.25
6719_8,1,0,0.69
9934_3,0,0,0.35
10562_9,1,0,0.78
10586_1,0,0,0.52
3297_10,1,0,0.72
4331_2,0,0,0.25
4206_9,1,0,0.79
76_7,1,0,0.5
10590_4,0,0,0.21
7998_9,1,0,0.33
6993_1,0,0,0.51
6722_2,0,0,0.5
10923_9,1,0,0.66
3601_3,0,0,0.46
10472_7,1,0,0.41
9440_8,1,0,0.64
772_4,0,0,0.53
2977_1,0,0,0.34
10838_10,1,0,0.68
2795_1,0,0,0.42
401_3,0,0,0.38
7292_10,1,0,0.55
3235_9,1,0,0.88
6390_8,1,0,0.42
1387_8,1,0,0.76
5320_10,1,0,0.73
6992_1,0,0,0.15
10828_1,0,0,0.43
2668_9,1,0,0.71
2246_4,0,0,0.7
11617_2,0,0,0.32
8739_9,1,0,0.81
3329_3,0,0,0.35
11957_8,1,0,0.76
11982_7,1,0,0.56
4409_10,1,0,0.57
7876_2,0,0,0.33
2381_9,1,0,0.43
5737_7,1,0,0.82
5674_7,1,0,0.41
10676_9,1,0,0.63
157_1,0,0,0.33
2597_8,1,0,0.45
8741_2,0,0,0.69
2603_8,1,0,0.35
10412_1,0,0,0.37
5901_4,0,0,0.48
952_3,0,0,0.51
8098_7,1,0,0.74
4259_9,1,0,0.57
2237_3,0,0,0.56
10899_3,0,0,0.47
7971_10,1,0,0.71
2372_8,1,0,0.55
447_10,1,0,0.68
2608_2,0,0,0.59
6903_1,0,0,0.2
2306_1,0,0,0.49
10523_2,0,0,0.28
10825_1,0,0,0.47
5479_10,1,0,0.64
4805_1,0,0,0.61
2228_1,0,0,0.39
1016_4,0,0,0.11
9219_10,1,0,0.57
3101_1,0,0,0.31
9384_4,0,0,0.56
2373_7,1,0,0.36
5348_3,0,0,0.43
3404_8,1,0,0.55
10387_7,1,0,0.5
3900_10,1,0,0.51
957_2,0,0,0.46
6540_3,0,0,0.58
11314_8,1,0,0.38
135_4,0,0,0.35
3516_4,0,0,0.71
46_9,1,0,0.78
11927_10,1,0,0.58
5884_1,0,0,0.42
4920_7,1,0,0.73
611_4,0,0,0.49
4316_1,0,0,0.46
11640_9,1,0,0.48
4308_1,0,0,0.41
4507_7,1,0,0.6
8175_3,0,0,0.55
5929_2,0,0,0.35
3907_3,0,0,0.65
